"Participant ID","I feel calm","I feel secure","I feel tense","I feel strained","I feel at ease","I feel upset","I am presently worrying over possible misfortunes","I feel satisfied","I feel frightened","I feel uncomfortable","I feel self confident","I feel nervous","I feel jittery","I feel indecisive","I am relaxed","I feel content","I am worried","I feel confused","I feel steady","I feel pleasant"
U0667,4,4,1,1,4,1,1,4,1,1,3,1,1,1,4,4.0,1,1,4,3
83U14,2,3,4,4,1,4,1,1,1,3,3,2,2,2,1,1,2,4.0,2,1
LEYWK,3,3,1,2.0,2,1,1,2,1,1,4,1,1,1,3,3,1.0,1.0,3,2
7H5IH,3,3,1,1,2,2,1,2,1,4,2,2,3.0,1.0,2,2,1,3,3,2
UET9E,2,2,2,3.0,3,1,1,2,1,2,2,1,1,2,2,2,1.0,1.0,2,3
2UXUJ,1,3,2,1,3,1,1,2,1,1,1,1,1,1,3,2.0,1,1,3,2
ERGPL,4,4,1,2,4,1,1,3,1,2,4,1,2,1,3,3.0,1,2,4,3
DXUBI,3,2,3,1,2,1,1,2,1,2,4,1,2,2,3,1,1,2.0,3,1
8BM2Y,3,4,1,1,4,1,1,3,1,1,4,1,1.0,1.0,3,3,2,1,4,4
FXV3D,4,4,1,1,3,1,3,3,1,1,1,1,1,1,4,4.0,1,1,4,4
HQEDB,3,3,3,2.0,2,2,3,3,2,2,3,3,2,3,3,3,3.0,3.0,3,2
8O8VB,4,4,1,1,4,1,1,4,1,1,4,1,1.0,1.0,4,4,1,1,4,4
CHWKI,2,3,3,3,1,1,1,2,1,2,3,2,2,1,2,3.0,1,3,3,2
0P9C0,1,1,1,1.0,1,1,1,1,1,1,1,3,1,1,1,1,1.0,1.0,1,1
T6MS9,1,3,3,2,2,3,1,2,2,3,2,1,3,2,2,2.0,1,1,1,1
2628E,4,3,1,1,3,1,1,2,1,1,3,1,1,1,3,3,1,1.0,3,3
AQQPS,4,4,3,3,3,1,3,3,1,1,4,1,2,2,4,3.0,1,1,4,4
3736C,2,2,3,1,2,3,2,1,1,1,2,2,1.0,2.0,2,2,3,3,2,3
XB4P5,3,4,2,NULL,4,1,1,3,1,2,3,2,2,3,3,4,1.0,2.0,3,3
0YJK3,4,4,4,3,4,2,3,3,3,2,3,3,3.0,2.0,3,4,2,2,1,2
PSSK3,3,4,1,2,4,1,1,3,1,1,4,1,1,1,4,4,1,2.0,3,3
QM19L,3,3,2,3.0,4,2,2,3,1,1,4,1,2,1,3,3,2.0,1.0,3,4
WLWQR,4,4,1,1.0,4,1,1,4,1,1,4,1,1,2,4,4,1.0,1.0,4,4
PJ9ZH,2,2,3,2,2,3,4,1,3,3,1,3,4.0,4.0,2,1,4,3,2,1
KVYRQ,4,4,1,1,4,2,1,4,1,1,4,1,1,1,4,4,1,2.0,4,4
2KVXD,3,3,3,4,1,4,4,1,1,4,2,3,3.0,4.0,1,1,1,4,4,1
RAE2N,3,3,2,1.0,4,1,1,3,1,2,3,1,2,2,4,4,1.0,2.0,4,4
NN4EB,4,4,1,1,4,3,1,3,1,1,4,1,1,1,4,3,1,3.0,4,3
U0Q9S,4,4,1,1,4,1,1,4,1,1,4,1,1.0,1.0,4,1,1,1,1,4
N6L3T,4,4,2,2.0,3,1,1,4,1,1,3,1,1,1,3,2,1.0,2.0,2,3
CXTJX,2,2,4,3,3,1,2,2,1,1,3,2,2.0,4.0,3,2,3,1,3,2
NS9D9,3,3,1,1,3,2,1,2,1,1,3,1,1,1,3,NULL,1,3,2,2
DY7B2,4,4,1,1,4,1,1,4,1,1,4,1,1,1,4,4.0,1,1,4,4
GA4G5,3,1,2,2,2,1,1,2,1,1,4,1,1,3,3,4,1,1.0,3,2
ZHF7X,4,4,1,1,4,1,1,4,1,1,4,1,2,1,4,4,1,1,4,4